"Group","SampleID","Easting.planned","Northing.planned","Easting.GPS","Northing.GPS","ICPOES_Vial_no","Group_no","Sample_no","EC","pH","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Ga","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","Rb","S","Sc","Sr","Th","Ti","V","Y","Zn","q0","Zone","Al.pow","Fe.pow","Cu.pow","As.pow"
"1","LCS23_001",384403,6462072,384403,6462072,3,1,1,479,8.39,3645,7,25,26186,0.08,4,0.4,8,7,3306,-1,0,282,3,3,1572,28,0,451,0,2,229,23,1,409,0,137,2,109,6,1,68,"50-75%","1-3",-0.0566768707045011,-0.0260803681648893,-0.486758702963057,-0.446816715135591
"1","LCS23_002",384398,6462085,384395,6462087,13,1,2,73.8,7.39,4867,2,26,8846,0.14,6,0.7,9,22,3374,0,0,358,4,3,821,32,1,216,1,3,530,18,2,1194,0,47,2,73,6,1,135,"50-75%","1-3",-0.051222235533855,-0.0258425112963787,-0.318642431986438,-0.750539548757186
"1","LCS23_003",384392,6462096,384394,6462098,23,1,3,52.3,7.77,4204,2,21,21425,0.23,5,0.8,9,8,4060,0,0,280,3,3,802,39,0,158,0,1,453,37,1,558,0,97,1,77,8,1,139,"50-75%","1-3",-0.0539160481420071,-0.0237773409276217,-0.463294030945185,-0.750539548757186
"1","LCS23_004",384386,6462110,384386,6462110,33,1,4,55.4,7.32,3484,2,15,12883,0.15,4,0.4,7,6,3486,0,0,114,2,2,453,26,0,96,1,1,279,28,1,358,0,77,1,71,7,1,105,"50-75%","1-3",-0.0575801310238865,-0.0254655275615673,-0.515328352603276,-0.750539548757186
"1","LCS23_005",384376,6462134,384378,6462134,43,1,5,77.6,7.62,1773,2,11,19495,0.11,3,0.6,6,4,1918,-3,0,216,2,3,896,40,0,174,0,1,270,13,1,402,0,108,1,111,3,1,140,"5-25%","1-3",-0.0729376795584434,-0.0333210078364178,-0.598739352309464,-0.750539548757186
"2","LCS23_006",384370,6462027,384370,6462029,2,2,6,589,8.86,2506,5,29,24687,0.13,6,0.3,8,28,3156,1,0,366,4,2,1470,36,0,903,1,24,364,26,1,633,0,125,1,45,5,1,142,"50-75%","1-3",-0.0646184634306737,-0.0266310538304465,-0.291441590543096,-0.513601659371693
"2","LCS23_007",384363,6462037,384363,6462034,12,2,7,46.8,7.35,3925,3,30,8976,0.14,5,0.6,10,12,4899,1,0,300,3,3,606,42,0,200,1,2,594,27,2,1038,0,35,1,47,7,1,134,"75-95%","1-3",-0.0552275933771982,-0.021850010612617,-0.39875205933435,-0.634558696705275
"2","LCS23_008",384354,6462048,384354,6462048,22,2,8,42.8,9.15,3090,2,8,11889,0.04,5,0.4,6,6,2076,-2,0,197,2,4,640,16,0,166,1,2,153,11,2,157,0,69,1,108,4,1,31,"25-50%","1-3",-0.0600502102350588,-0.0321549392099595,-0.515328352603276,-0.750539548757186
"2","LCS23_009",384337,6462071,384337,6462071,32,2,9,67.9,8.47,1339,1,8,13475,0.07,2,0.2,4,2,1255,0,0,75,1,2,525,18,0,92,0,0,168,5,0,178,0,76,1,31,2,1,27,"Min-5%","1-3",-0.0804686653221446,-0.0403283379096131,-0.773782496771195,-1
"2","LCS23_010",384313,6462102,384313,6462102,42,2,10,50.1,6.59,1789,1,8,1182,0.08,5,0.4,5,4,1727,-1,0,105,2,2,114,20,0,46,2,1,120,19,1,114,0,7,1,68,3,1,33,"5-25%","1-3",-0.0727087001816464,-0.0349315975599908,-0.598739352309464,-1
"3","LCS23_011",384612,6462132,384613,6462102,5,3,1,224.7,8.8,4466,36,36,52175,0.14,5,0.6,12,7,10804,3,0,301,4,3,1162,165,2,247,0,1,337,31,1,1081,0,137,1,86,8,2,118,"75-95%","1-3",-0.0527871783869091,-0.0153068892873482,-0.486758702963057,-0.226824919115493
"3","LCS23_012",384607,6462126,384613,6462104,15,3,2,222.8,8.3,4974,44,45,65196,0.14,5,0.8,13,6,12813,4,0,415,4,3,1511,204,2,237,0,1,339,30,2,1069,0,181,2,82,10,2,137,"75-95%","1-3",-0.0508338469089378,-0.0141761117546698,-0.515328352603276,-0.208742361311144
"3","LCS23_013",384608,6462115,384616,6462106,25,3,3,45.7,8.8,4187,11,14,19119,0.05,5,0.5,10,5,4924,-1,0,161,3,3,480,57,0,99,0,1,129,17,1,222,0,51,1,126,8,1,40,"75-95%","1-3",-0.0539925654846277,-0.0218000193998317,-0.551291248615218,-0.370564172936355
"3","LCS23_014",384612,6462101,384615,6462113,35,3,4,50.4,9.25,5788,23,25,33942,0.1,7,0.7,13,8,8215,-1,0,224,4,3,790,99,1,143,1,2,165,26,1,389,1,88,2,164,12,2,63,"75-95%","1-3",-0.0482075452021467,-0.0173151634096228,-0.463294030945185,-0.273051568673836
"3","LCS23_015",384608,6462093,384612,6462094,45,3,5,435,8.58,2870,31,42,61092,0.18,3,0.9,13,7,11077,4,0,290,3,2,1308,156,1,420,0,1,240,28,0,941,0,172,1,53,6,2,278,"75-95%","1-3",-0.061622786996969,-0.0151359620418354,-0.486758702963057,-0.241310521800828
