Group,SampleID,Easting.planned,Northing.planned,Easting.GPS,Northing.GPS,Zone,Zone2,EC,pH,PO4.P,Al,As,B,Ba,Ca,Co,Cr,Fe,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb ,Rb ,S,Sc,Se,Si,Sr,Zn
1,LCW23_001,384410,6462079,384378,6462039,distDrain,nearDrain,4.39,8.39,0.059,NA,0.1156,0.6658,0.0471,68.6,0.0012,0.00080,0.0635,98.99758579,0.001463669,0.003179046,108.7462029,0.005954146,0.001,756,0.0002,0.098,0.00654,0.191261312,77.1,0,0.01,3.83,0.748815215,0.013
1,LCW23_002,384406,6462073,384405,6462075,distDrain,nearDrain,4.07,8.39,0.074,NA,0.1162,0.6637,0.0492,71.2,NA,0.00194,0.0706,100.0786277,0.001929533,0.003127972,109.0450684,0.010183867,0,765,0.0009,0.125,0.0021,0.187937983,76.7,0,0.02,4.04,0.80155264,0.002
1,LCW23_003,384403,6462068,384403,6462069,distDrain,nearDrain,4.2,8.4,0.075,0,0.1155,0.6633,0.0477,70.7,NA,0.00147,0.0742,98.27904459,0.000571714,0.003158338,108.0653189,0.010101979,0.001,773,0.0009,0.116,0.00142,0.188850624,76.1,NA,0.02,3.99,0.8027955,0.034
1,LCW23_004,384398,6462062,384402,6462063,distDrain,nearDrain,4.34,8.37,0.066,NA,0.1148,0.6678,0.0499,70.3,0.0002,0.00120,0.0686,99.46938711,0.001887623,0.002788068,108.0811141,0.008300662,0.001,775,0.0003,0.103,0.00222,0.189144809,76.3,0,0.02,3.95,0.784368683,0.003
1,LCW23_005,384393,6462058,384393,6462059,distDrain,nearDrain,4.22,8.41,0.061,NA,0.1143,0.6691,0.0493,70.5,0.0016,0.00188,0.0689,99.40619428,NA,0.002562938,108.9449148,0.008708594,0.001,773,0.0007,0.102,0.00365,0.190054319,76.3,NA,0.02,3.96,0.774941206,NA
2,LCW23_006,384376,6462036,384376,6462036,nearDrain,nearDrain,3.16,8.37,0.083,NA,0.1095,0.6734,0.0500,70,NA,0.00151,0.0598,99.35792846,0.002002856,0.002929724,109.7891271,0.007158218,0.001,769,0.0007,0.096,0.01197,0.189479731,77.3,NA,0.01,3.9,0.782282245,NA
2,LCW23_007,384373,6462031,384373,6462031,nearDrain,nearDrain,3.11,8.32,0.094,NA,0.1161,0.6702,0.0487,69.6,NA,0.00148,0.0497,99.59933745,0.001419373,0.003384939,109.1419411,0.006568098,0.001,770,NA,0.096,NA,0.192116325,77.4,NA,0.01,3.88,0.772208874,NA
2,LCW23_008,384370,6462025,384370,6462025,nearDrain,nearDrain,3.88,8.5,0.099,0.02,0.1108,0.6653,0.0489,69.3,NA,0.00159,0.0428,105.085252,0.001959168,0.005279215,109.6570246,0.007246093,0.002,763,0.0006,0.486,0.00483,0.188166932,76.4,NA,0.02,3.79,0.785858851,0
2,LCW23_009,384368,6462020,384368,6462020,nearDrain,nearDrain,3.6,8.34,0.081,0.01,0.1133,0.6587,0.0470,68.2,NA,0.00116,0.0790,99.37677128,0.001486757,0.00283942,107.4220785,0.006808692,0.001,770,0.0010,0.103,0.00013,0.186164362,75.2,NA,0.01,3.8,0.774402697,NA
2,LCW23_010,384367,6462014,384367,6462014,nearDrain,nearDrain,4,8.39,0.077,NA,0.1105,0.6671,0.0480,69.8,0.0006,0.00153,0.0630,98.40732489,0.001103794,0.003013092,110.1426896,0.006982356,0.002,765,NA,0.101,NA,0.186576943,77.2,0,0.01,3.87,0.770698781,NA
3,LCW23_011,384602,6462103,384603,6462098,distDrain,nearDrain,3.044,7.6,NA,0.01,NA,0.3837,0.0975,195,NA,0.00177,0.2089,54.49758643,0.003210444,0.001167175,55.02120755,0.098751134,0.003,396,NA,0.013,0.00583,0.08988336,59.7,NA,0.01,10.98,1.124849483,0.021
3,LCW23_012,384603,6462095,384601,6462096,distDrain,nearDrain,2.933,7.98,NA,0.02,NA,0.3866,0.0984,185.4,0.0005,0.00144,0.1558,55.90965006,0.002940146,0.001166686,55.95269889,0.094584452,0.003,407,NA,0.017,0.00546,0.094437613,56.9,NA,0.02,10.46,1.097159705,0.018
3,LCW23_013,384604,6462089,384603,6462098,distDrain,nearDrain,2.787,7.94,NA,NA,NA,0.3841,0.0992,188.8,0.0001,0.00155,0.1271,54.92769682,0.003318334,0.002405915,54.08092052,0.097244736,0.003,393,0.0009,0.011,NA,0.091670965,57.2,NA,0.02,10.53,1.093891511,0.004
3,LCW23_014,384603,6462081,384601,6462101,distDrain,nearDrain,2.953,7.82,NA,0.01,NA,0.3995,0.0950,175.8,0.0004,0.00125,0.1472,57.84865385,0.00237597,0.002423163,57.76807662,0.089312121,0.004,414,NA,0.014,0.00602,0.096762089,55.5,NA,0.02,10.07,1.060728745,0
3,LCW23_015,384602,6462074,384605,6462090,distDrain,nearDrain,2.915,7.87,NA,0.01,NA,0.3783,0.1033,207.9,0.0020,0.00147,0.1310,53.632888,0.002769353,0.001428662,55.80368355,0.088336123,0.003,394,NA,0.017,NA,0.08858452,61.8,NA,0.03,11.65,1.164922064,0.012
4,LCW23_016,384525,6461754,384523,6461770,distDrain,distDrain,4.08,7.22,0.025,0.01,0.0842,0.6494,0.0487,73.9,0.0015,0.00137,0.1460,105.4122382,0.0017446,0.003344749,106.9005246,0.010689662,0.001,772,0.0001,0.069,0.00292,0.186118699,76.2,0,0.02,3.27,0.771414575,0.013
4,LCW23_017,384530,6461746,384527,6461767,distDrain,distDrain,4.47,7.65,0.015,0.02,0.0805,0.6477,0.0464,73.5,0.0011,0.00136,0.1538,97.34658405,0.000930409,0.003358415,106.5446714,0.010432517,0.001,777,NA,0.055,0.00153,0.184273398,75.3,0,0.01,3.14,0.756434663,0.003
4,LCW23_018,384532,6461738,384527,6461764,distDrain,distDrain,4.75,7.55,0.026,0.02,0.0934,0.6520,0.0482,72.7,0.0021,0.00156,0.1132,110.0308891,0.001884265,0.001918891,107.1967244,0.009010575,0.001,758,0.0003,0.06,0.00015,0.18605981,75,0,0.02,2.95,0.752670065,0.003
4,LCW23_019,384540,6461730,384551,6461739,distDrain,distDrain,3.45,7.96,0.054,0.01,0.1048,0.6581,0.0488,74.6,0.0027,0.00166,0.0967,98.89236663,0.001841703,0.002748899,111.4027716,0.007358494,0.001,766,0.0003,0.082,0.00484,0.185174255,76,0,0.01,3.68,0.771366541,0.001
