"Group","SampleID","Easting.planned","Northing.planned","Easting.GPS","Northing.GPS","EC","pH","PO4.P","Al","As","B","Ba","Ca","Co","Cr","Fe","K","La","Li","Mg","Mn","Mo","Na","Ni","P","Pb","Rb","S","Sc","Se","Si","Sr","Zn"
1,"LCW23_001",384410,6462079,384378,6462039,4.39,8.39,0.059,NA,0.12,0.67,0.05,68.6,0.001,0.001,0.06,99,0.001,0.003,109,0.006,0.001,756,0,0.098,0.01,0.19,77.1,0,0.01,3.83,0.75,0.013
1,"LCW23_002",384406,6462073,384405,6462075,4.07,8.39,0.074,NA,0.12,0.66,0.05,71.2,NA,0.002,0.07,100,0.002,0.003,109,0.01,0,765,0.001,0.125,0,0.19,76.7,0,0.02,4.04,0.8,0.002
1,"LCW23_003",384403,6462068,384403,6462069,4.2,8.4,0.075,0,0.12,0.66,0.05,70.7,NA,0.001,0.07,98,0.001,0.003,108,0.01,0.001,773,0.001,0.116,0,0.19,76.1,NA,0.02,3.99,0.8,0.034
1,"LCW23_004",384398,6462062,384402,6462063,4.34,8.37,0.066,NA,0.11,0.67,0.05,70.3,0,0.001,0.07,99,0.002,0.003,108,0.008,0.001,775,0,0.103,0,0.19,76.3,0,0.02,3.95,0.78,0.003
1,"LCW23_005",384393,6462058,384393,6462059,4.22,8.41,0.061,NA,0.11,0.67,0.05,70.5,0.002,0.002,0.07,99,NA,0.003,109,0.009,0.001,773,0.001,0.102,0,0.19,76.3,NA,0.02,3.96,0.77,NA
2,"LCW23_006",384376,6462036,384376,6462036,3.16,8.37,0.083,NA,0.11,0.67,0.05,70,NA,0.002,0.06,99,0.002,0.003,110,0.007,0.001,769,0.001,0.096,0.01,0.19,77.3,NA,0.01,3.9,0.78,NA
2,"LCW23_007",384373,6462031,384373,6462031,3.11,8.32,0.094,NA,0.12,0.67,0.05,69.6,NA,0.001,0.05,100,0.001,0.003,109,0.007,0.001,770,NA,0.096,NA,0.19,77.4,NA,0.01,3.88,0.77,NA
2,"LCW23_008",384370,6462025,384370,6462025,3.88,8.5,0.099,0.02,0.11,0.67,0.05,69.3,NA,0.002,0.04,105,0.002,0.005,110,0.007,0.002,763,0.001,0.486,0,0.19,76.4,NA,0.02,3.79,0.79,0
2,"LCW23_009",384368,6462020,384368,6462020,3.6,8.34,0.081,0.01,0.11,0.66,0.05,68.2,NA,0.001,0.08,99,0.001,0.003,107,0.007,0.001,770,0.001,0.103,0,0.19,75.2,NA,0.01,3.8,0.77,NA
2,"LCW23_010",384367,6462014,384367,6462014,4,8.39,0.077,NA,0.11,0.67,0.05,69.8,0.001,0.002,0.06,98,0.001,0.003,110,0.007,0.002,765,NA,0.101,NA,0.19,77.2,0,0.01,3.87,0.77,NA
3,"LCW23_011",384602,6462103,384603,6462098,3.044,7.6,NA,0.01,NA,0.38,0.1,195,NA,0.002,0.21,54,0.003,0.001,55,0.099,0.003,396,NA,0.013,0.01,0.09,59.7,NA,0.01,10.98,1.12,0.021
3,"LCW23_012",384603,6462095,384601,6462096,2.933,7.98,NA,0.02,NA,0.39,0.1,185.4,0,0.001,0.16,56,0.003,0.001,56,0.095,0.003,407,NA,0.017,0.01,0.09,56.9,NA,0.02,10.46,1.1,0.018
3,"LCW23_013",384604,6462089,384603,6462098,2.787,7.94,NA,NA,NA,0.38,0.1,188.8,0,0.002,0.13,55,0.003,0.002,54,0.097,0.003,393,0.001,0.011,NA,0.09,57.2,NA,0.02,10.53,1.09,0.004
3,"LCW23_014",384603,6462081,384601,6462101,2.953,7.82,NA,0.01,NA,0.4,0.09,175.8,0,0.001,0.15,58,0.002,0.002,58,0.089,0.004,414,NA,0.014,0.01,0.1,55.5,NA,0.02,10.07,1.06,0
3,"LCW23_015",384602,6462074,384605,6462090,2.915,7.87,NA,0.01,NA,0.38,0.1,207.9,0.002,0.001,0.13,54,0.003,0.001,56,0.088,0.003,394,NA,0.017,NA,0.09,61.8,NA,0.03,11.65,1.16,0.012
4,"LCW23_016",384525,6461754,384523,6461770,4.08,7.22,0.025,0.01,0.08,0.65,0.05,73.9,0.002,0.001,0.15,105,0.002,0.003,107,0.011,0.001,772,0,0.069,0,0.19,76.2,0,0.02,3.27,0.77,0.013
